artists,popularity,genres
A Skylit Drive,44.5,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
A Static Lullaby,48,"['melodic metalcore', 'post-hardcore', 'screamo']"
A Taste Of Honey,45.5,"['boogie', 'disco', 'funk', 'post-disco']"
A Thousand Horses,55,"['contemporary country', 'country pop', 'modern country rock']"
A Touch Of Class,64.75,"['bubblegum dance', 'europop']"
A Tree Grows in Brooklyn Ensemble,0.25,[]
A Tree Grows in Brooklyn Orchestra,1,[]
A Tribe Called Quest,46.0616438356,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
A Tribe Called Red,51,"['canadian indigenous', 'escape room', 'native american hip hop', 'ottawa rap']"
A Winged Victory for the Sullen,45,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'post-rock', 'warm drone']"
A$AP ANT,57.5,"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']"
A$AP Ferg,61.325,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
A$AP Mob,59.3,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
A$AP NAST,55.6666666667,['harlem hip hop']
A$AP Rocky,62.6605504587,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
A$AP Twelvyy,55.5,"['hip hop', 'rap', 'underground hip hop']"
A*M*E,61,['reggae']
A*Teens,44.3333333333,"['bubblegum dance', 'dance pop', 'europop']"
A-Lin,60,"['anthem worship', 'canadian ccm', 'ccm']"
A-Mei Chang,51,"['c-pop', 'mandopop']"
A-Trak,55.4,"['banda', 'grupera', 'regional mexican']"
A. Caminha,24,[]
A. Jaziukevičius,1,['lithuanian folk']
A. L. Lloyd,11,"['broadway', 'show tunes', 'west end']"
A. Likiardopoulou,0,[]
A. M. Rajah,4.4,"['deep indian pop', 'filmi']"
A. Manetta,56,[]
A. Merangulian,0,[]
A. Merangulian with folk instrumental ensemble,0,[]
A. P. Komala,0,[]
A. R. Ojha,0,[]
A. R. Oza,0,[]
A. R. Qureshi,0,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
A. Xatzixristos,0,[]
A.B. Quintanilla III,50,[]
A.B. Quintanilla III Y Los Kumbia Kings,49.2105263158,[]
A.C. Reed,32,"['blues', 'chicago blues', 'electric blues', 'soul blues']"
A.C. Smyth,10,[]
A.CHAL,65,['trap soul']
A.G.,49,[]
A.J. Croce,15,[]
A.Loraarrero,1.3333333333,[]
A.R. Kane,26,"['dream pop', 'shoegaze']"
A.R. Rahman,57.5,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
A.l.t.,33,[]
A2M,66,[]
A7S,92,[]
ABBA,40.8181818182,"['europop', 'swedish pop']"
ABC,42.2,[]
ABN,41.25,"['dirty south rap', 'gangster rap', 'houston rap']"
ABSRDST,55,['hyperpop']
AC/DC,48.84,"['album rock', 'australian rock', 'hard rock', 'rock']"
ACOT,64,['meme rap']
AFI,42.8666666667,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
AJ Meijer,53,[]
AJ Michalka,60,[]
AJ Mitchell,73.75,"['pop', 'post-teen pop', 'social media pop']"
AJ Rafael,58.6,"['opm', 'pinoy indie', 'viral pop']"
AJ Tracey,62,"['grime', 'uk hip hop', 'ukg revival']"
AJJ,48.5714285714,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']"
AJR,57.5094339623,"['modern rock', 'pop rock']"
AL-X The Great,55,['meme rap']
ALI,65,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
ALISA UENO,66,[]
ALLBLACK,65,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']"
ALO,57,['r&b']
AMG,37,[]
ANTONIS NTALGKAS,0,[]
AOA,58,"['k-pop', 'k-pop girl group']"
APB,32,['canadian hip hop']
APO Hiking Society,39.1333333333,"['classic opm', 'manila sound', 'opm', 'pinoy rock']"
ARIANNA BAGAGLINI,21,[]
ARTY,53,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
ASIAN KUNG-FU GENERATION,55.6666666667,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']"
ATB,57.6666666667,"['german dance', 'german techno', 'trance']"
ATEEZ,69,"['k-pop', 'k-pop boy group']"
ATL,34,"['modern rock', 'pop']"
ATR Son Son,66,[]
ATaste Of Honey,34,[]
AUGUST 08,76,"['la pop', 'r&b']"
AURORA,59.4,['norwegian pop']
AViVA,66.6666666667,['vapor pop']
AWAY,60,['traprun']
AWOLNATION,53.3043478261,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
AZ,45,"['grupera', 'gruperas inmortales', 'nu-cumbia', 'regional mexican']"
Aadesh Shrivastava,50,[]
Aage Braarud,0,[]
Aaliyah,43.9444444444,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Aalon,37,[]
Aaries,32,[]
Aaron Carter,42,"['dance pop', 'post-teen pop']"
Aaron Copland,8.1914893617,"['american modern classical', 'classical', 'early modern classical']"
Aaron Hall,39.2777777778,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Aaron Kamm and the One Drops,45,"['reggae rock', 'stl indie']"
Aaron Krause,66,['indiecoustica']
Aaron Kwok,44,"['c-pop', 'cantopop', 'classic cantopop']"
Aaron Lansing,65.5,['focus']
Aaron Lewis,52.0344827586,"['alternative metal', 'contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'post-grunge', 'redneck']"
Aaron Lohr,44.1666666667,[]
Aaron May,62,['underground hip hop']
Aaron Neville,43.0769230769,"['motown', 'soul']"
Aaron Shaw,59,[]
Aaron Shust,51,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
Aaron Smith,76,['chicago house']
Aaron Tippin,43,"['country', 'country road', 'country rock', 'redneck']"
Aaron Tveit,47.25,"['broadway', 'hollywood', 'show tunes']"
Aaron Watson,46.625,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
Aaron Y Su Grupo Ilusion,54.8181818182,"['banda', 'cumbia', 'cumbia sonidera', 'grupera', 'regional mexican']"
Aaron Zigman,48,['soundtrack']
Aarti Mukherji,5.7777777778,"['classic bollywood', 'filmi', 'indian folk']"
Aaryn Doyle,46,[]
Aase Ziegler,0,[]
Aazar,54,"['electro house', 'electronic trap']"
Ab-Soul,51.2105263158,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
Abandon All Ships,45,"['canadian metalcore', 'canadian post-hardcore', 'metalcore', 'post-screamo', 'trancecore']"
Abbasuddin Ahmed,0,[]
Abbey Lincoln,23.4285714286,['vocal jazz']
Abby Anderson,59,"['contemporary country', 'country pop']"
Abdel Aziz Mahmoud,0,[]
Abdel Halim Hafez,23.9565217391,"['arab folk', 'classic arab pop']"
